SELECT id, komitent_id FROM faktura WHERE komitent_id IN (5095, 5096, 5097, 5098, 5099, 30997, 31928, 39447, 40783);
+---------+-------------+
| id      | komitent_id |
+---------+-------------+
|  367888 |        5095 |
|  441125 |        5095 |
|  525464 |        5095 |
|  541736 |        5095 |
|  578578 |        5095 |
|  649119 |        5095 |
|  649127 |        5095 |
|  691922 |        5095 |
|  753838 |        5095 |
|  783042 |        5095 |
|  783065 |        5095 |
|  869666 |        5095 |
|  869681 |        5095 |
|  922913 |        5095 |
|  992722 |        5095 |
|  992733 |        5095 |
| 1017790 |        5095 |
| 1076081 |        5095 |
| 1101200 |        5095 |
| 1147245 |        5095 |
| 1151948 |        5095 |
| 1198221 |        5095 |
| 1198242 |        5095 |
| 1198251 |        5095 |
| 1198269 |        5095 |
| 1201656 |        5095 |
| 1233525 |        5095 |
| 1233548 |        5095 |
| 1769160 |        5095 |
| 1879772 |        5095 |
| 1879773 |        5095 |
| 1879824 |        5095 |
| 1964851 |        5095 |
| 1964865 |        5095 |
| 1972734 |        5095 |
| 1972770 |        5095 |
| 1972811 |        5095 |
| 1972814 |        5095 |
| 1972839 |        5095 |
| 1972843 |        5095 |
| 1972869 |        5095 |
| 1972873 |        5095 |
| 2075415 |        5095 |
| 2135836 |        5095 |
| 2206789 |        5095 |
| 2206813 |        5095 |
| 2264103 |        5095 |
| 2303142 |        5095 |
| 2321609 |        5095 |
| 2366133 |        5095 |
| 2405074 |        5095 |
| 2431813 |        5095 |
| 2480486 |        5095 |
| 2480510 |        5095 |
| 2557062 |        5095 |
| 2566958 |        5095 |
| 2591394 |        5095 |
| 2617171 |        5095 |
| 2645011 |        5095 |
| 2702310 |        5095 |
| 2738694 |        5095 |
| 2738697 |        5095 |
| 2738700 |        5095 |
| 2738721 |        5095 |
| 2738769 |        5095 |
| 2738823 |        5095 |
| 2789556 |        5095 |
| 2789644 |        5095 |
| 2820954 |        5095 |
| 2820978 |        5095 |
| 2859968 |        5095 |
| 2949236 |        5095 |
| 2949237 |        5095 |
| 2949272 |        5095 |
| 2970909 |        5095 |
| 3014674 |        5095 |
| 3018672 |        5095 |
| 3018684 |        5095 |
| 3018685 |        5095 |
| 3064071 |        5095 |
| 3083551 |        5095 |
| 3083552 |        5095 |
| 3083801 |        5095 |
| 3083802 |        5095 |
| 3083808 |        5095 |
| 3083809 |        5095 |
| 3083813 |        5095 |
| 3083815 |        5095 |
| 3098839 |        5095 |
| 3152557 |        5095 |
| 3225625 |        5095 |
| 3290628 |        5095 |
| 3387094 |        5095 |
| 3460505 |        5095 |
| 3528055 |        5095 |
| 3574943 |        5095 |
| 3666150 |        5095 |
| 3732482 |        5095 |
| 3737964 |        5095 |
| 3784916 |        5095 |
| 3852079 |        5095 |
| 3893465 |        5095 |
| 3955531 |        5095 |
| 3959867 |        5095 |
| 3991967 |        5095 |
| 4013939 |        5095 |
| 4047749 |        5095 |
| 4093489 |        5095 |
| 4122181 |        5095 |
| 4122194 |        5095 |
| 4122211 |        5095 |
| 4122212 |        5095 |
| 4150461 |        5095 |
| 4180187 |        5095 |
| 4192884 |        5095 |
| 4234098 |        5095 |
| 4234112 |        5095 |
| 4234131 |        5095 |
| 4279491 |        5095 |
| 4279500 |        5095 |
| 4315849 |        5095 |
| 4315867 |        5095 |
| 4315880 |        5095 |
| 4315892 |        5095 |
| 4353118 |        5095 |
| 4353159 |        5095 |
| 4353174 |        5095 |
| 4353205 |        5095 |
| 4367937 |        5095 |
| 4395041 |        5095 |
| 4395048 |        5095 |
| 4411191 |        5095 |
|  367770 |        5096 |
|  441023 |        5096 |
|  441311 |        5096 |
|  525462 |        5096 |
|  541710 |        5096 |
|  578579 |        5096 |
|  649171 |        5096 |
|  649214 |        5096 |
|  691935 |        5096 |
|  691936 |        5096 |
|  691962 |        5096 |
|  783135 |        5096 |
|  783187 |        5096 |
|  869623 |        5096 |
|  869641 |        5096 |
|  869707 |        5096 |
|  922617 |        5096 |
|  924960 |        5096 |
|  992546 |        5096 |
| 1017809 |        5096 |
| 1021953 |        5096 |
| 1101135 |        5096 |
| 1101183 |        5096 |
| 1147261 |        5096 |
| 1147276 |        5096 |
| 1198278 |        5096 |
| 1198303 |        5096 |
| 1198304 |        5096 |
| 1198314 |        5096 |
| 1233567 |        5096 |
| 1233585 |        5096 |
| 1330859 |        5096 |
| 1330871 |        5096 |
| 1442983 |        5096 |
| 1442984 |        5096 |
| 1475142 |        5096 |
| 1475160 |        5096 |
| 1634061 |        5096 |
| 1634088 |        5096 |
| 1634114 |        5096 |
| 1755306 |        5096 |
| 1755333 |        5096 |
| 1879710 |        5096 |
| 1879722 |        5096 |
| 1879732 |        5096 |
| 1879741 |        5096 |
| 1964890 |        5096 |
| 1964892 |        5096 |
| 1964896 |        5096 |
| 1964911 |        5096 |
| 1964918 |        5096 |
| 1964928 |        5096 |
| 1964936 |        5096 |
| 1964945 |        5096 |
| 2005619 |        5096 |
| 2005635 |        5096 |
| 2005654 |        5096 |
| 2135807 |        5096 |
| 2135821 |        5096 |
| 2146358 |        5096 |
| 2198357 |        5096 |
| 2271142 |        5096 |
| 2271151 |        5096 |
| 2362153 |        5096 |
| 2362166 |        5096 |
| 2431782 |        5096 |
| 2431797 |        5096 |
| 2480532 |        5096 |
| 2480552 |        5096 |
| 2566975 |        5096 |
| 2566994 |        5096 |
| 2567004 |        5096 |
| 2617182 |        5096 |
| 2617194 |        5096 |
| 2667214 |        5096 |
| 2705087 |        5096 |
| 2705095 |        5096 |
| 2738308 |        5096 |
| 2738309 |        5096 |
| 2738312 |        5096 |
| 2738315 |        5096 |
| 2738324 |        5096 |
| 2738330 |        5096 |
| 2738442 |        5096 |
| 2738540 |        5096 |
| 2738574 |        5096 |
| 2738575 |        5096 |
| 2738576 |        5096 |
| 2738615 |        5096 |
| 2738618 |        5096 |
| 2789669 |        5096 |
| 2789678 |        5096 |
| 2820886 |        5096 |
| 2821078 |        5096 |
| 2821088 |        5096 |
| 2859946 |        5096 |
| 2861045 |        5096 |
| 2861047 |        5096 |
| 2861048 |        5096 |
| 2970855 |        5096 |
| 2970861 |        5096 |
| 2970871 |        5096 |
| 3014581 |        5096 |
| 3064218 |        5096 |
